課程名稱,課程時數,課程訂價,課程售價,早鳥價格,開課時間,課程狀態,課程期數,上課地點,課程講師,合作單位,課程分類,線上課程,實體課程
好快樂online學英文,,0,0,450/堂,2019/01/01,臨櫃報名, ,線上課程,Ricky, ,國際語文,1,0
企業內訓外語專班 ,1800,0,0,依企業需求報價,2019/01/01,臨櫃報名, ,線上課程,, ,國際語文,1,0
Online線上英文免費體驗課,,0,0,0,2019/01/01,尚有名額, ,線上課程,Ricky, ,國際語文,1,0
iTalk日語個別班,,8000 ,8000 ,8000,2019/01/01,尚有名額, ,線上課程,夏樹老師, ,國際語文,1,0
Online線上英語面試準備 ,,12000 ,12000 ,12000,2019/07/01,尚有名額, ,線上課程,ILI國際語文中心專業師資, ,國際語文,1,0
Online線上英文主題討論,,7600 ,7600 ,7600,2019/07/01,尚有名額, ,線上課程,ILI國際語言中心外籍師資, ,國際語文,1,0
Online線上全民英檢初級班,,7600 ,7600 ,7600,2019/07/15,尚有名額, ,線上課程,ILI國際語言中心專業師資, ,國際語文,1,0
Online線上全民英檢中高級班,,7600 ,7600 ,7600,2019/07/15,尚有名額, ,線上課程,ILI國際語言中心專業師資, ,國際語文,1,0
Online線上全民英檢中級班,,7600 ,7600 ,7600,2019/07/15,尚有名額, ,線上課程,ILI國際語言中心專業師資, ,國際語文,1,0
Online線上全民英檢中高級班,,12000 ,12000 ,12000,2019/07/20,尚有名額, ,線上課程,ILI國際語言中心專業師資, ,國際語文,1,0
Online線上全民英檢初級班,,12000 ,12000 ,12000,2019/07/20,尚有名額, ,線上課程,ILI國際語言中心專業師資, ,國際語文,1,0
Online線上全民英檢中級班,,12000 ,12000 ,12000,2019/07/20,尚有名額, ,線上課程,ILI國際語言中心專業師資, ,國際語文,1,0
Online線上英語會話 Level A,,21600 ,21600 ,21600,2019/07/31,尚有名額, ,線上課程,ILI國際語文中心專業師資群, ,國際語文,1,0
Online線上英文會話 Level C,,21600 ,21600 ,21600,2019/07/31,尚有名額, ,線上課程,ILI國際語文中心專業師資群, ,國際語文,1,0
Online線上英文會話Level D,,21600 ,21600 ,21600,2019/07/31,尚有名額, ,線上課程,ILI國際語文中心專業師資群, ,國際語文,1,0
線上英文講座,,0,0,0,2019/09/25,尚有名額, ,線上課程,Ricky 老師, ,國際語文,1,0
兒童英語個人家教班,1800,28800 ,28800 ,28800,2019/09/29,臨櫃報名, ,線上課程,1, ,國際語文,1,0
西語個別班 ,1800,38250 ,38250 ,38250,2019/10/25,尚有名額, ,線上課程,Carmen 老師, ,國際語文,1,0
零基礎英文二,1200,6500 ,6500 ,6500,2019/09/02,尚有名額, ,建國,Sarah Chen老師, ,國際語文,0,1
日語五十音入門班,900,2000 ,2000 ,1900,2019/09/17,尚有名額, ,建國,張守仁 老師, ,國際語文,0,1
